,Composition,Formation Energy Per Atom,Corrected Energy
338,Be8C2Co4Mo2W10,-0.2822,-235.4129
339,B2Br34Cs2Hf7Rb6Zr5,-1.844,-292.3893
340,Ir1La5Rh7Sn15,-0.6976,-164.7454
341,Ir11La15Pr5Rh1,-0.6622,-223.7221
342,Nb1Si6Ta6Ti3,-0.682,-148.3978
343,Cl2Er3Ho7Pb6,-0.868,-87.3776
344,Ge2P4Rh12Sr6,-0.7549,-147.3182
345,As1Pr18Si15Sm2,-0.7042,-206.8844
346,Hg1Pb1Pu4Rh4,-0.4576,-95.1214
347,Ag2Cd21P1Pr6,-0.3625,-70.0192
348,Ag4As8Ba12H4,-0.866,-109.449
349,Ir11Li6Ru1Ta6,-0.6006,-203.5116
350,B4Ir3Rh7Sc4Ti2,-0.8807,-163.5177
351,B24Lu4Os2Tb4W2,-0.6728,-269.5186
352,Cd4Ir4Nd15Th1,-0.4592,-129.0013
353,P4Pd7Sm1Tb2,-0.9983,-85.8757
354,Ac2Ge2In2O2,-1.7235,-46.6754
355,I2Si1Tc1Th2,-1.0556,-39.9954
356,Ba4Cr4N12Rb4,-0.8267,-170.0882
357,O36Rb8U4V8,-2.7783,-459.3905
358,Pa6Sb3Sn7Zr2,-0.4692,-123.0837
359,Dy12In6Os2Tb4,-0.3751,-121.7868
360,B14Ho2Tm4W2,-0.6305,-160.3673
361,Ge1Sc5Si15Ta3V12,-0.6833,-286.843
362,B3C1Cl12Ho6Tb6,-1.7819,-156.6425
363,Er12Pb16Sm7Tb1,-0.5375,-171.23
364,Fe1Mn2Rh4Si1,-0.3707,-64.6418
365,Eu2In1O1Pr1,-1.5203,-40.666
366,Er2Pb16Tb18,-0.5419,-171.4632
367,F28In1Mn4Tm3,-3.1904,-221.2026
368,Er3Ir7P4,-0.9424,-110.4193
369,Au1Mg3Pb2Sm2Tm1,-0.5085,-33.9892
370,Er1O12Os2Sm4,-3.0899,-163.9809
371,Al1Li3Pr3Sb2,-0.7197,-38.5595
372,Al18Au1Ho4Rh5,-0.7908,-147.988
373,As8K16Th2,-0.5216,-83.4288
